DATE,CITY_NAME,SKU_ID,SKU_NAME,BRAND_ID,BRAND,IMAGE_URL,CATEGORY_ID,CATEGORY_NAME,SUB_CATEGORY_ID,SUB_CATEGORY_NAME,EST_QTY_SOLD,EST_SALES_SP,EST_SALES_MRP,LISTED_DS_COUNT,DS_COUNT,WT_OSA,WT_OSA_LS,MRP,SP,DISCOUNT
2025-03-30,Kochi,612172,Sweet Karam Coffee Spicy Masala Papad - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/05fbb293-096e-4fa2-8cea-dea296d7aad4.jpg?ts=1738137787,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,3,7,0.000000,0.000000,297.0,205.0,0.3097643
2025-03-11,Bathinda,559016,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/08af4215-0111-44c4-b719-6b4265d536c3.jpg?ts=1720425035,1237,Munchies,1178,Bhujia & Mixtures,0,0.0,0.0,1,1,1.000000,1.000000,198.0,184.0,0.0707071
2025-03-17,Bengaluru,567595,Sweet Karam Coffee Mini Creamy Onion Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/30e7c3a5-d0f4-4824-b837-731968d934cc.jpg,1237,Munchies,80,Papad & Fryums,1,68.0,99.0,102,107,0.429907,0.450980,99.0,68.0,0.3131313
2025-03-28,Kozhikode,567734,Sweet Karam Coffee Spicy Masala Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/da/cms-assets/cms/product/fb3cecb2-e76f-4f91-a929-29f71c7c9157.jpg?ts=1731910040,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,1.000000,1.000000,99.0,69.0,0.3030303
2025-03-21,Kochi,567595,Sweet Karam Coffee Mini Creamy Onion Papad,17390,Sweet Karam Coffee,http://cdn.grofers.com/app/assets/products/sliding_images/jpeg/30e7c3a5-d0f4-4824-b837-731968d934cc.jpg,1237,Munchies,80,Papad & Fryums,3,204.0,297.0,7,7,1.000000,1.000000,99.0,68.0,0.3131313
2025-03-21,Kochi,567595,Sweet Karam Coffee Mini Creamy Onion Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/30e7c3a5-d0f4-4824-b837-731968d934cc.jpg,1237,Munchies,80,Papad & Fryums,3,204.0,297.0,7,7,1.000000,1.000000,99.0,68.0,0.3131313
2025-03-06,Thrissur,572142,Sweet Karam Coffee Spicy Masala Papad - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/da/cms-assets/cms/product/25e605be-4252-40bb-aec3-ec578bf4dc1d.jpg?ts=1730044199,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,1.000000,1.000000,198.0,137.0,0.3080808
2025-03-27,Pune,567596,Sweet Karam Coffee Mini Jeera Papad Chips,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ca994a0a-aa58-422c-853a-259e436417ab.jpg,1237,Munchies,80,Papad & Fryums,2,138.0,198.0,55,55,1.000000,1.000000,99.0,69.0,0.3030303
2025-03-31,Amritsar,559017,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ca2c0c6-031b-461c-9285-628af2265a90.jpg?ts=1720425042,1237,Munchies,1178,Bhujia & Mixtures,3,801.0,891.0,5,5,0.400000,0.400000,297.0,267.0,0.1010101
2025-03-27,Mysore,567600,Sweet Karam Coffee Mini Sabudana Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/c118de67-3b0e-422b-9fec-3c44649ee195.jpg?ts=1725968728,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,4,5,0.600000,0.750000,99.0,68.0,0.3131313
